name,family,category,is_body,is_serif,is_italic,weight_num,weight_str,url,idx
ABeeZee 400,ABeeZee,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/ABeeZee,0
ABeeZee 400 Italic,ABeeZee,sans-serif,1,0,1,400,Regular,http://fonts.google.com/specimen/ABeeZee,1
Abel,Abel,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Abel,2
Abhaya Libre 400,Abhaya Libre,serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Abhaya+Libre,3
Abhaya Libre 500,Abhaya Libre,serif,1,1,0,500,Medium,http://fonts.google.com/specimen/Abhaya+Libre,4
Abhaya Libre 600,Abhaya Libre,serif,1,1,0,600,Semi Bold,http://fonts.google.com/specimen/Abhaya+Libre,5
Abhaya Libre 700,Abhaya Libre,serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Abhaya+Libre,6
Abhaya Libre 800,Abhaya Libre,serif,1,1,0,800,Extra Bold,http://fonts.google.com/specimen/Abhaya+Libre,7
Abril Fatface,Abril Fatface,display,0,1,0,400,Regular,http://fonts.google.com/specimen/Abril+Fatface,8
Aclonica,Aclonica,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Aclonica,9
Acme,Acme,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Acme,10
Actor,Actor,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Actor,11
Adamina,Adamina,serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Adamina,12
Advent Pro 100,Advent Pro,sans-serif,1,0,0,100,Thin,http://fonts.google.com/specimen/Advent+Pro,13
Advent Pro 200,Advent Pro,sans-serif,1,0,0,200,Extra Light,http://fonts.google.com/specimen/Advent+Pro,14
Advent Pro 300,Advent Pro,sans-serif,1,0,0,300,Light,http://fonts.google.com/specimen/Advent+Pro,15
Advent Pro 400,Advent Pro,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Advent+Pro,16
Advent Pro 500,Advent Pro,sans-serif,1,0,0,500,Medium,http://fonts.google.com/specimen/Advent+Pro,17
Advent Pro 600,Advent Pro,sans-serif,1,0,0,600,Semi Bold,http://fonts.google.com/specimen/Advent+Pro,18
Advent Pro 700,Advent Pro,sans-serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Advent+Pro,19
Aguafina Script,Aguafina Script,handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Aguafina+Script,20
Akronim,Akronim,display,0,1,0,400,Regular,http://fonts.google.com/specimen/Akronim,21
Aladin,Aladin,handwriting,1,0,0,400,Regular,http://fonts.google.com/specimen/Aladin,22
Aldrich,Aldrich,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Aldrich,23
Alef 400,Alef,sans-serif,1,0,0,400,Regular,http://fonts.google.com/specimen/Alef,24
Alef 700,Alef,sans-serif,1,0,0,700,Bold,http://fonts.google.com/specimen/Alef,25
Alegreya 400,Alegreya,serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Alegreya,26
Alegreya 400 Italic,Alegreya,serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Alegreya,27
Alegreya 500,Alegreya,serif,1,1,0,500,Medium,http://fonts.google.com/specimen/Alegreya,28
Alegreya 500 Italic,Alegreya,serif,1,1,1,500,Medium,http://fonts.google.com/specimen/Alegreya,29
Alegreya 700,Alegreya,serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Alegreya,30
Alegreya 700 Italic,Alegreya,serif,1,1,1,700,Bold,http://fonts.google.com/specimen/Alegreya,31
Alegreya 800,Alegreya,serif,1,1,0,800,Extra Bold,http://fonts.google.com/specimen/Alegreya,32
Alegreya 800 Italic,Alegreya,serif,1,1,1,800,Extra Bold,http://fonts.google.com/specimen/Alegreya,33
Alegreya 900,Alegreya,serif,1,1,0,900,Black,http://fonts.google.com/specimen/Alegreya,34
Alegreya 900 Italic,Alegreya,serif,1,1,1,900,Black,http://fonts.google.com/specimen/Alegreya,35
Alegreya SC 400,Alegreya SC,serif,1,1,0,400,Regular,http://fonts.google.com/specimen/Alegreya+SC,36
Alegreya SC 400 Italic,Alegreya SC,serif,1,1,1,400,Regular,http://fonts.google.com/specimen/Alegreya+SC,37
Alegreya SC 500,Alegreya SC,serif,1,1,0,500,Medium,http://fonts.google.com/specimen/Alegreya+SC,38
Alegreya SC 500 Italic,Alegreya SC,serif,1,1,1,500,Medium,http://fonts.google.com/specimen/Alegreya+SC,39
Alegreya SC 700,Alegreya SC,serif,1,1,0,700,Bold,http://fonts.google.com/specimen/Alegreya+SC,40
Alegreya SC 700 Italic,Alegreya SC,serif,1,1,1,700,Bold,http://fonts.google.com/specimen/Alegreya+SC,41
Alegreya SC 800,Alegreya SC,serif,1,1,0,800,Extra Bold,http://fonts.google.com/specimen/Alegreya+SC,42
