name,family,category,is_body,is_serif,is_italic,weight,url
ABeeZee 400,ABeeZee,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/ABeeZee
ABeeZee 400 Italic,ABeeZee,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/ABeeZee
Abel,Abel,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Abel
Abhaya Libre 400,Abhaya Libre,serif,1,1,0,regular,http://fonts.google.com/specimen/Abhaya+Libre
Abhaya Libre 500,Abhaya Libre,serif,1,1,0,medium,http://fonts.google.com/specimen/Abhaya+Libre
Abhaya Libre 600,Abhaya Libre,serif,1,1,0,semibold,http://fonts.google.com/specimen/Abhaya+Libre
Abhaya Libre 700,Abhaya Libre,serif,1,1,0,bold,http://fonts.google.com/specimen/Abhaya+Libre
Abhaya Libre 800,Abhaya Libre,serif,1,1,0,extrabold,http://fonts.google.com/specimen/Abhaya+Libre
Abril Fatface,Abril Fatface,display,0,1,0,regular,http://fonts.google.com/specimen/Abril+Fatface
Aclonica,Aclonica,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Aclonica
Acme,Acme,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Acme
Actor,Actor,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Actor
Adamina,Adamina,serif,1,1,0,regular,http://fonts.google.com/specimen/Adamina
Advent Pro 100,Advent Pro,sans-serif,1,0,0,thin,http://fonts.google.com/specimen/Advent+Pro
Advent Pro 200,Advent Pro,sans-serif,1,0,0,extralight,http://fonts.google.com/specimen/Advent+Pro
Advent Pro 300,Advent Pro,sans-serif,1,0,0,light,http://fonts.google.com/specimen/Advent+Pro
Advent Pro 400,Advent Pro,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Advent+Pro
Advent Pro 500,Advent Pro,sans-serif,1,0,0,medium,http://fonts.google.com/specimen/Advent+Pro
Advent Pro 600,Advent Pro,sans-serif,1,0,0,semibold,http://fonts.google.com/specimen/Advent+Pro
Advent Pro 700,Advent Pro,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Advent+Pro
Aguafina Script,Aguafina Script,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Aguafina+Script
Akronim,Akronim,display,0,1,0,regular,http://fonts.google.com/specimen/Akronim
Aladin,Aladin,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Aladin
Aldrich,Aldrich,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Aldrich
Alef 400,Alef,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Alef
Alef 700,Alef,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Alef
Alegreya 400,Alegreya,serif,1,1,0,regular,http://fonts.google.com/specimen/Alegreya
Alegreya 400 Italic,Alegreya,serif,1,1,1,regular,http://fonts.google.com/specimen/Alegreya
Alegreya 500,Alegreya,serif,1,1,1,medium,http://fonts.google.com/specimen/Alegreya
Alegreya 500 Italic,Alegreya,serif,1,1,1,medium,http://fonts.google.com/specimen/Alegreya
Alegreya 700,Alegreya,serif,1,1,1,bold,http://fonts.google.com/specimen/Alegreya
Alegreya 700 Italic,Alegreya,serif,1,1,1,bold,http://fonts.google.com/specimen/Alegreya
Alegreya 800,Alegreya,serif,1,1,1,extrabold,http://fonts.google.com/specimen/Alegreya
Alegreya 800 Italic,Alegreya,serif,1,1,1,extrabold,http://fonts.google.com/specimen/Alegreya
Alegreya 900,Alegreya,serif,1,1,1,black,http://fonts.google.com/specimen/Alegreya
Alegreya 900 Italic,Alegreya,serif,1,1,1,black,http://fonts.google.com/specimen/Alegreya
Alegreya SC 400,Alegreya SC,serif,1,1,0,regular,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 400 Italic,Alegreya SC,serif,1,1,1,regular,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 500,Alegreya SC,serif,1,1,1,medium,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 500 Italic,Alegreya SC,serif,1,1,1,medium,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 700,Alegreya SC,serif,1,1,1,bold,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 700 Italic,Alegreya SC,serif,1,1,1,bold,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 800,Alegreya SC,serif,1,1,1,extrabold,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 800 Italic,Alegreya SC,serif,1,1,1,extrabold,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 900,Alegreya SC,serif,1,1,1,black,http://fonts.google.com/specimen/Alegreya+SC
Alegreya SC 900 Italic,Alegreya SC,serif,1,1,1,black,http://fonts.google.com/specimen/Alegreya+SC
Alegreya Sans 100,Alegreya Sans,sans-serif,1,0,0,thin,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 100 Italic,Alegreya Sans,sans-serif,1,0,1,thin,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 300,Alegreya Sans,sans-serif,1,0,1,light,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 300 Italic,Alegreya Sans,sans-serif,1,0,1,light,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 400,Alegreya Sans,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 400 Italic,Alegreya Sans,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 500,Alegreya Sans,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 500 Italic,Alegreya Sans,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 700,Alegreya Sans,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 700 Italic,Alegreya Sans,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 800,Alegreya Sans,sans-serif,1,0,1,extrabold,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 800 Italic,Alegreya Sans,sans-serif,1,0,1,extrabold,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 900,Alegreya Sans,sans-serif,1,0,1,black,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans 900 Italic,Alegreya Sans,sans-serif,1,0,1,black,http://fonts.google.com/specimen/Alegreya+Sans
Alegreya Sans SC 100,Alegreya Sans SC,sans-serif,1,0,0,thin,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 100 Italic,Alegreya Sans SC,sans-serif,1,0,1,thin,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 300,Alegreya Sans SC,sans-serif,1,0,1,light,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 300 Italic,Alegreya Sans SC,sans-serif,1,0,1,light,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 400,Alegreya Sans SC,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 400 Italic,Alegreya Sans SC,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 500,Alegreya Sans SC,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 500 Italic,Alegreya Sans SC,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 700,Alegreya Sans SC,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 700 Italic,Alegreya Sans SC,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 800,Alegreya Sans SC,sans-serif,1,0,1,extrabold,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 800 Italic,Alegreya Sans SC,sans-serif,1,0,1,extrabold,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 900,Alegreya Sans SC,sans-serif,1,0,1,black,http://fonts.google.com/specimen/Alegreya+Sans+SC
Alegreya Sans SC 900 Italic,Alegreya Sans SC,sans-serif,1,0,1,black,http://fonts.google.com/specimen/Alegreya+Sans+SC
Aleo 300,Aleo,serif,1,1,0,light,http://fonts.google.com/specimen/Aleo
Aleo 300 Italic,Aleo,serif,1,1,1,light,http://fonts.google.com/specimen/Aleo
Aleo 400,Aleo,serif,1,1,1,regular,http://fonts.google.com/specimen/Aleo
Aleo 400 Italic,Aleo,serif,1,1,1,regular,http://fonts.google.com/specimen/Aleo
Aleo 700,Aleo,serif,1,1,1,bold,http://fonts.google.com/specimen/Aleo
Aleo 700 Italic,Aleo,serif,1,1,1,bold,http://fonts.google.com/specimen/Aleo
Alex Brush,Alex Brush,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Alex+Brush
Alfa Slab One,Alfa Slab One,display,0,1,0,regular,http://fonts.google.com/specimen/Alfa+Slab+One
Alice,Alice,serif,1,1,0,regular,http://fonts.google.com/specimen/Alice
Alike,Alike,serif,1,1,0,regular,http://fonts.google.com/specimen/Alike
Alike Angular,Alike Angular,serif,1,1,0,regular,http://fonts.google.com/specimen/Alike+Angular
Allan 400,Allan,display,0,0,0,regular,http://fonts.google.com/specimen/Allan
Allan 700,Allan,display,0,0,0,bold,http://fonts.google.com/specimen/Allan
Allerta,Allerta,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Allerta
Allerta Stencil,Allerta Stencil,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Allerta+Stencil
Allura,Allura,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Allura
Almendra 400,Almendra,serif,1,1,0,regular,http://fonts.google.com/specimen/Almendra
Almendra 400 Italic,Almendra,serif,1,1,1,regular,http://fonts.google.com/specimen/Almendra
Almendra 700,Almendra,serif,1,1,1,bold,http://fonts.google.com/specimen/Almendra
Almendra 700 Italic,Almendra,serif,1,1,1,bold,http://fonts.google.com/specimen/Almendra
Almendra Display,Almendra Display,display,0,1,0,regular,http://fonts.google.com/specimen/Almendra+Display
Almendra SC,Almendra SC,serif,1,1,0,regular,http://fonts.google.com/specimen/Almendra+SC
Amarante,Amarante,display,0,1,0,regular,http://fonts.google.com/specimen/Amarante
Amaranth 400,Amaranth,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Amaranth
Amaranth 400 Italic,Amaranth,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Amaranth
Amaranth 700,Amaranth,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Amaranth
Amaranth 700 Italic,Amaranth,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Amaranth
Amatic SC 400,Amatic SC,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Amatic+SC
Amatic SC 700,Amatic SC,handwriting,1,0,0,bold,http://fonts.google.com/specimen/Amatic+SC
Amethysta,Amethysta,serif,1,1,0,regular,http://fonts.google.com/specimen/Amethysta
Amiko 400,Amiko,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Amiko
Amiko 600,Amiko,sans-serif,1,0,0,semibold,http://fonts.google.com/specimen/Amiko
Amiko 700,Amiko,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Amiko
Amiri 400,Amiri,serif,1,1,0,regular,http://fonts.google.com/specimen/Amiri
Amiri 400 Italic,Amiri,serif,1,1,1,regular,http://fonts.google.com/specimen/Amiri
Amiri 700,Amiri,serif,1,1,1,bold,http://fonts.google.com/specimen/Amiri
Amiri 700 Italic,Amiri,serif,1,1,1,bold,http://fonts.google.com/specimen/Amiri
Amita 400,Amita,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Amita
Amita 700,Amita,handwriting,1,0,0,bold,http://fonts.google.com/specimen/Amita
Anaheim,Anaheim,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Anaheim
Andada,Andada,serif,1,1,0,regular,http://fonts.google.com/specimen/Andada
Andika,Andika,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Andika
Annie Use Your Telescope,Annie Use Your Telescope,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Annie+Use+Your+Telescope
Anonymous Pro 400,Anonymous Pro,monospace,1,1,0,regular,http://fonts.google.com/specimen/Anonymous+Pro
Anonymous Pro 400 Italic,Anonymous Pro,monospace,1,1,1,regular,http://fonts.google.com/specimen/Anonymous+Pro
Anonymous Pro 700,Anonymous Pro,monospace,1,1,1,bold,http://fonts.google.com/specimen/Anonymous+Pro
Anonymous Pro 700 Italic,Anonymous Pro,monospace,1,1,1,bold,http://fonts.google.com/specimen/Anonymous+Pro
Antic,Antic,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Antic
Antic Didone,Antic Didone,serif,1,1,0,regular,http://fonts.google.com/specimen/Antic+Didone
Antic Slab,Antic Slab,serif,1,1,0,regular,http://fonts.google.com/specimen/Antic+Slab
Anton,Anton,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Anton
Arapey 400,Arapey,serif,1,1,0,regular,http://fonts.google.com/specimen/Arapey
Arapey 400 Italic,Arapey,serif,1,1,1,regular,http://fonts.google.com/specimen/Arapey
Arbutus,Arbutus,display,0,1,0,regular,http://fonts.google.com/specimen/Arbutus
Arbutus Slab,Arbutus Slab,serif,1,1,0,regular,http://fonts.google.com/specimen/Arbutus+Slab
Architects Daughter,Architects Daughter,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Architects+Daughter
Archivo 400,Archivo,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Archivo
Archivo 400 Italic,Archivo,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Archivo
Archivo 500,Archivo,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Archivo
Archivo 500 Italic,Archivo,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Archivo
Archivo 600,Archivo,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Archivo
Archivo 600 Italic,Archivo,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Archivo
Archivo 700,Archivo,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Archivo
Archivo 700 Italic,Archivo,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Archivo
Archivo Black,Archivo Black,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Archivo+Black
Archivo Narrow 400,Archivo Narrow,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 400 Italic,Archivo Narrow,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 500,Archivo Narrow,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 500 Italic,Archivo Narrow,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 600,Archivo Narrow,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 600 Italic,Archivo Narrow,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 700,Archivo Narrow,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Archivo+Narrow
Archivo Narrow 700 Italic,Archivo Narrow,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Archivo+Narrow
Aref Ruqaa 400,Aref Ruqaa,serif,1,1,0,regular,http://fonts.google.com/specimen/Aref+Ruqaa
Aref Ruqaa 700,Aref Ruqaa,serif,1,1,0,bold,http://fonts.google.com/specimen/Aref+Ruqaa
Arima Madurai 100,Arima Madurai,display,0,1,0,thin,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 200,Arima Madurai,display,0,1,0,extralight,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 300,Arima Madurai,display,0,1,0,light,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 400,Arima Madurai,display,0,1,0,regular,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 500,Arima Madurai,display,0,1,0,medium,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 700,Arima Madurai,display,0,1,0,bold,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 800,Arima Madurai,display,0,1,0,extrabold,http://fonts.google.com/specimen/Arima+Madurai
Arima Madurai 900,Arima Madurai,display,0,1,0,black,http://fonts.google.com/specimen/Arima+Madurai
Arimo 400,Arimo,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Arimo
Arimo 400 Italic,Arimo,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Arimo
Arimo 700,Arimo,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Arimo
Arimo 700 Italic,Arimo,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Arimo
Arizonia,Arizonia,handwriting,1,0,0,regular,http://fonts.google.com/specimen/Arizonia
Armata,Armata,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Armata
Arsenal 400,Arsenal,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Arsenal
Arsenal 400 Italic,Arsenal,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Arsenal
Arsenal 700,Arsenal,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Arsenal
Arsenal 700 Italic,Arsenal,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Arsenal
Artifika,Artifika,serif,1,1,0,regular,http://fonts.google.com/specimen/Artifika
Arvo 400,Arvo,serif,1,1,0,regular,http://fonts.google.com/specimen/Arvo
Arvo 400 Italic,Arvo,serif,1,1,1,regular,http://fonts.google.com/specimen/Arvo
Arvo 700,Arvo,serif,1,1,1,bold,http://fonts.google.com/specimen/Arvo
Arvo 700 Italic,Arvo,serif,1,1,1,bold,http://fonts.google.com/specimen/Arvo
Arya 400,Arya,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Arya
Arya 700,Arya,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Arya
Asap 400,Asap,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Asap
Asap 400 Italic,Asap,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Asap
Asap 500,Asap,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Asap
Asap 500 Italic,Asap,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Asap
Asap 600,Asap,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Asap
Asap 600 Italic,Asap,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Asap
Asap 700,Asap,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Asap
Asap 700 Italic,Asap,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Asap
Asap Condensed 400,Asap Condensed,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 400 Italic,Asap Condensed,sans-serif,1,0,1,regular,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 500,Asap Condensed,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 500 Italic,Asap Condensed,sans-serif,1,0,1,medium,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 600,Asap Condensed,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 600 Italic,Asap Condensed,sans-serif,1,0,1,semibold,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 700,Asap Condensed,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Asap+Condensed
Asap Condensed 700 Italic,Asap Condensed,sans-serif,1,0,1,bold,http://fonts.google.com/specimen/Asap+Condensed
Asar,Asar,serif,1,1,0,regular,http://fonts.google.com/specimen/Asar
Asset,Asset,display,0,1,0,regular,http://fonts.google.com/specimen/Asset
Assistant 200,Assistant,sans-serif,1,0,0,extralight,http://fonts.google.com/specimen/Assistant
Assistant 300,Assistant,sans-serif,1,0,0,light,http://fonts.google.com/specimen/Assistant
Assistant 400,Assistant,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Assistant
Assistant 600,Assistant,sans-serif,1,0,0,semibold,http://fonts.google.com/specimen/Assistant
Assistant 700,Assistant,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Assistant
Assistant 800,Assistant,sans-serif,1,0,0,extrabold,http://fonts.google.com/specimen/Assistant
Astloch 400,Astloch,display,0,1,0,regular,http://fonts.google.com/specimen/Astloch
Astloch 700,Astloch,display,0,1,0,bold,http://fonts.google.com/specimen/Astloch
Asul 400,Asul,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Asul
Asul 700,Asul,sans-serif,1,0,0,bold,http://fonts.google.com/specimen/Asul
Athiti 200,Athiti,sans-serif,1,0,0,extralight,http://fonts.google.com/specimen/Athiti
Athiti 300,Athiti,sans-serif,1,0,0,light,http://fonts.google.com/specimen/Athiti
Athiti 400,Athiti,sans-serif,1,0,0,regular,http://fonts.google.com/specimen/Athiti
